"id","rmse_ratio","mae_ratio","rmse_ratio_minvar","mae_ratio_minvar","n_obs","group","tcode"
"EXJPUSx",0.999408685853987,0.999688921237689,1.00481230058859,1.00500145067664,432,"FX",5
"EXSZUSx",1.00297918827609,1.00352747524243,1.00308283367092,1.00661489098144,432,"FX",5
"EXUSUKx",1.00370809750553,1.00780121535971,1.00428004358522,1.00740155235287,432,"FX",5
"EXCAUSx",1.00585465987532,1.0100337709476,1.00721473490099,1.00652780319699,432,"FX",5
"DSERRG3M086SBEA",0.974358847019781,0.975702188355253,1.00243260352853,1.00934309067389,432,"Prices",6
"CUSR0000SAS",0.977985256426523,0.982100092107084,1.01366457404855,1.02740787004344,432,"Prices",6
"PCEPI",0.981545162630299,0.980638656083198,1.00763738842442,1.01070886971487,432,"Prices",6
"DDURRG3M086SBEA",0.982186116416221,0.985044820289536,1.01504047979212,1.02283438772428,432,"Prices",6
"CPIMEDSL",0.985200744099692,0.983792306312506,0.997339498037214,1.01230516896146,432,"Prices",6
"CUSR0000SA0L5",0.985583798966265,0.985620950513626,1.00848456865647,1.01615078975853,432,"Prices",6
"CUSR0000SAC",0.98843042708001,0.983090487096064,1.00366479681798,1.00439349962733,432,"Prices",6
"CUSR0000SAD",0.988815426130378,0.983094219948124,1.01073697932157,1.0211549347794,432,"Prices",6
"WPSID61",0.990345209527752,0.983609867865485,1.00601995676532,1.01081611296148,432,"Prices",6
"CPIAUCSL",0.990469914091271,0.987379202514014,1.01252206361749,1.01623122408139,432,"Prices",6
"CPITRNSL",0.992071885631024,0.988290497858683,1.00261353873796,1.0032587524083,432,"Prices",6
"CUSR0000SA0L2",0.992098365058269,0.98264702637947,1.0101362829333,1.00517425798861,432,"Prices",6
"CPIULFSL",0.992406703194399,0.988390260666334,1.01074828140565,1.01231409426404,432,"Prices",6
"WPSID62",0.992479903969132,0.987643812099991,0.994964408878088,0.997836840567947,432,"Prices",6
"PPICMM",0.996049954171137,1.00354676124164,1.01987550310926,1.01600256343481,432,"Prices",6
"CPIAPPSL",0.997345859497447,0.997481438751095,1.00742161820665,1.0099108044523,432,"Prices",6
"DNDGRG3M086SBEA",0.997877674747937,0.995615964554374,1.00787035909394,1.01129747190829,432,"Prices",6
"WPSFD49207",0.998278915432639,0.996316673083902,1.00695698243839,1.00781668275848,432,"Prices",6
"WPSFD49502",1.00127625577861,0.995418470190978,1.00923763759779,1.00860288544553,432,"Prices",6
"OILPRICEx",1.00438969978666,1.01140085977536,1.00681258538196,1.01383380051238,432,"Prices",6
"FEDFUNDS",0.975622094846907,0.989873518645468,1.01937712817558,1.02502762368637,432,"Rate",2
"TB6MS",0.976919124979977,0.961068791494179,1.01967005208773,1.03000198659763,432,"Rate",2
"TB3MS",0.984114209546849,0.959459968362407,1.01972850132661,1.0268728067741,432,"Rate",2
"CP3Mx",0.99339183685444,0.992517187580117,1.01630888848477,1.02634522502135,432,"Rate",2
"GS1",0.993520069915846,0.974347114543025,1.02037871079058,1.02678589809845,432,"Rate",2
"BAA",0.997425593410705,0.994923287273739,1.00075973134789,0.997776229861443,432,"Rate",2
"GS10",1.00714027238862,1.01128289713588,1.00713236237839,1.00154173377016,432,"Rate",2
"AAA",1.00818371362841,1.01529349446694,1.00913788678398,1.01203067108824,432,"Rate",2
"GS5",1.00939212387501,1.00727169187701,1.01192189520055,1.00848837849828,432,"Rate",2
"AAAFFM",0.923667158454994,0.916838615175823,1.01140125495874,1.01015550931863,432,"Spread",1
"TB3SMFFM",0.933944594789752,0.90174139283642,1.0030907025367,1.01604923846834,432,"Spread",1
"T10YFFM",0.934889154206727,0.924953617620785,1.00225762229781,1.00023754136143,432,"Spread",1
"BAAFFM",0.936486902319377,0.929032832238475,1.00170381684017,0.994889075787999,432,"Spread",1
"COMPAPFFx",0.94419348721,0.948300832932338,0.988052786388759,1.00374844038462,432,"Spread",1
"T1YFFM",0.944983801287172,0.926518719754616,1.00249677711663,1.00525337916223,432,"Spread",1
"T5YFFM",0.945544139272125,0.944423031840865,0.990010329858871,0.990820132759959,432,"Spread",1
"TB6SMFFM",0.948516542949266,0.942217714641939,1.00549009088921,1.00984337330922,432,"Spread",1
