"","rf.mse","hrf_nls_1.mse","hrf_nls_2.mse","wrf.mse","crf.mse","owrf.mse","ridge.mse","ridge_second.mse"
"ASN",13.2947349251266,7.4939957224903,5.46467726636587,12.4870404931954,10.3372656918091,10.9321151051589,4.14058138277516,82.0270231558082
"CCPP",11.533877098322,11.2444614691123,11.1086463518592,11.4092552204459,11.1551486227567,14.4106328478091,11.0910312520238,12.5481891009326
"CCS",32.5614915751763,27.6163376900463,25.5190904358658,31.4178224100656,29.5357860638401,36.6473754779348,27.5598656909593,103.722958119709
"CST",18.9833195856645,13.9097924894115,12.3331269985502,17.4408360545671,16.0195527504733,14.5842122685906,12.0537575550354,12.9796146377663
"EE",1.2953249502501,0.364725735311502,0.261820532398732,0.609492002066106,0.745570718177976,0.534797214114131,3.39989412285718,0.908452585057302
"PT",18.0733820897341,9.75176255447802,7.76393775995606,15.3819549420507,13.6204562803783,14.3396365271105,7.63700807840862,10.7447652591744
"QSAR",1.24478190355347,1.25867070730017,1.27321524631921,1.24243810111206,1.23205678172668,1.30994176608893,4.2201437382931,3.82378078968729
"SM",0.00024605419295197,0.000106922019880437,5.95768620699271e-05,0.000151716527191532,0.000184355207357871,0.000154515746661312,0.000116547852673066,9.95697010552232e-05
"YH",17.5398381215294,1.43427639214925,0.98594663474518,3.29565917429025,5.50706744268235,1.71648509598016,2.48516760608851,3.05420432511715
"housing",11.5028891892585,10.4141395442373,10.0330509236081,11.3119934381583,11.026739778511,11.1464044262425,15.9463635160366,16.1836290676418
"servo",0.751315082037344,0.714455264528849,0.627096759206283,0.717294813713452,0.702852066294087,0.680905621076204,0.627077286750948,0.712032768999445
"tecator",66.6952673618752,63.3296129921337,60.5213255871314,66.3027921833215,65.6778419837649,66.2287094497605,60.1111167705971,125.109963881683
