"dataset_id","n","p","avg_abs_cor","kurtosis_target","dataset_name","n_over_p","hrf_rf_gain_n5000","hrf_rf_gain_avg","kappa_gain_n5000","kappa_gain_avg","tree_quality_cv"
44132,8192,21,0.239802137840039,12.7166880234013,"cpu_act",390.095238095238,0.997357384768734,0.977518168244978,1.00090642320828,1.00137233586289,0.0314553655071232
44133,15000,26,0.101171170072185,-0.992403700665927,"pol",576.923076923077,0.885054352473234,0.861140948622898,0.960131242054007,0.957696001004316,0.122060179836215
44134,16599,16,0.254769763214269,7.61529453674566,"elevators",1037.4375,0.940589655328253,0.955805153257893,0.977923266226037,0.982409252743831,0.0362097716181375
44135,7797,613,0.174106877253777,-1.20357923817426,"isolet",12.7194127243067,0.978904465732591,0.96485034283672,0.996573340157756,0.989383723581146,0.0688352696396373
44136,6497,11,0.244789045357718,0.231220154874363,"wine_quality",590.636363636364,1.00493058346079,1.01419816438603,1.00313604466488,1.00675209190908,0.0259873351306983
44137,13750,33,0.319326941877452,2.59030587014569,"Ailerons",416.666666666667,0.998660320596406,0.985384555877094,1.0010599230181,0.996271836344565,0.0343433269331836
44138,20640,8,0.313707785127039,-0.426442347751592,"houses",2580,0.957873312389768,0.957114131342422,0.99361153480698,0.991489757204519,0.0499433702977897
44139,22784,16,0.148800495183062,45.5546330609867,"house_16H",1424,1.01890939247642,1.03694168554809,1.0013183323048,1.00093589716689,0.0334455390575267
44140,53940,6,0.464192673516021,-1.09675288454407,"diamonds",8990,1.01154650685555,1.02444530822639,1.0059187062858,1.01144224414025,0.0176614167753534
44141,10692,8,0.297487065994072,-0.0536585405807446,"brazilian_houses",1336.5,0.896782496901081,0.886502691324916,0.962570827989922,0.960234425007007,0.122232559487371
44142,17379,6,0.19236650535076,1.41645035468874,"Bike_Sharing_Demand",2896.5,1.00200161626857,0.997756308805017,1.00515636933063,1.00687378687338,0.0396615077557407
44143,581835,9,0.0756737828260783,0.355905144742515,"nyc-taxi-green-dec-2016",64648.3333333333,0.994418960205117,1.01643540009638,0.999809853375316,1.00735040064284,0.0394658283035624
44144,21613,15,0.189476529380899,0.691419577503745,"house_sales",1440.86666666667,1.00245049928953,0.99675714109557,1.00273613283852,0.999927880554268,0.0314399422069712
44145,10081,6,0.279626732334679,74.410349334838,"sulfur",1680.16666666667,0.942493615376408,0.964750000979244,0.980628463490773,0.989901031116747,0.0653357696324087
44146,163065,3,0.270330544917302,0.631242260549443,"medical_charges",54355,0.967626567862537,0.884850194674721,1.00257822699149,0.995935287401508,0.151834342091097
44147,13932,13,0.220804159672164,1.15915491353883,"MiamiHousing2016",1071.69230769231,0.985596979468737,0.971719340263612,0.997954878131914,0.991236042552937,0.0310142810919796
44148,21263,79,0.345541685553492,-0.532217073483048,"superconduct",269.151898734177,1.00768323284468,1.00651245352141,1.00421594463768,1.00366665072476,0.0343942851592927
